Evaporation,Sunshine,WindSpeed,Humidity,Pressure,Cloud,Temp,Rain
1,0.9,0,69,1021.9,7,2.8,No
0.6,8.9,7,51,1019,5,6.7,No
1.8,5.2,NA,46,1020.1,1,3.9,No
2,1.9,6,62,1020.8,7,2.7,No
0.6,4.7,0,55,1013.9,7,1.3,No
0.8,5.6,24,73,1009.4,3,7.7,Yes
2.2,8.1,15,48,1014.9,1,6,No
1.8,0,0,87,1009,7,2.4,Yes
1.8,7.5,26,56,1010.3,7,7.6,No
1.4,9.2,2,33,1025.8,1,3.4,No
1.6,7.7,6,48,1031.1,1,3.6,No
1.6,8.4,7,51,1027.4,3,3.7,No
1.2,8.1,7,25,1020.9,2,1.4,No
2.2,5.9,2,50,1015.3,7,1.2,No
1.4,1.9,6,66,1010,7,1,Yes
0.8,9.1,28,56,1014.9,2,5.6,No
1.8,8.6,19,49,1016.8,3,6.5,No
2.6,8.7,0,48,1014.6,1,2.7,No
2.2,6.8,0,38,1012.9,1,3,No
2.6,0.7,19,82,1001.3,8,9.6,Yes
2.2,9.3,28,56,1014.9,1,6.9,No
2.2,9.6,4,48,1018.1,1,7.8,No
2.4,5.8,4,60,1018.3,1,2.6,No
1.8,4.2,0,72,1019.2,3,5.5,Yes
1.6,8.3,30,48,1017.6,5,8.9,No
3,5,7,78,1015.9,7,3.8,Yes
1.4,7.2,6,62,1019.1,6,7.6,No
1.8,7.3,6,70,1019,1,5.6,No
2.4,4.7,30,68,1012.6,8,3.3,No
1.4,9.9,9,60,1016.6,1,4.7,No
1.8,7.9,22,63,1020.1,1,7,No
2.8,9.8,20,41,1022.4,1,6.5,No
3.4,9.4,28,45,1018.2,1,6.2,No
4.4,8.4,28,51,1012.4,1,9.2,No
3,10,24,27,1011.8,1,8.7,No
4,10.4,9,35,1022,0,4.5,No
3,6.8,7,30,1021.8,6,1.4,No
2.2,7.9,4,47,1025.6,6,0.1,No
2.4,4.7,13,36,1024.4,7,7.9,No
3,1.8,15,27,1017.8,8,8.6,No
2.6,7,15,44,1016.8,8,6.9,No
5.4,9.5,30,38,1025.5,1,6.7,No
2.6,10.4,2,28,1028,0,5.2,No
2.6,7.8,7,34,1024.4,7,5.3,No
2.8,9,0,23,1020.3,5,4.8,No
3,NA,9,23,1025.5,1,7.9,No
3.4,9.9,6,43,1025.9,1,7.2,No
3.4,5.9,0,45,1022.9,7,7.3,No
1.8,4.1,4,45,1017.5,7,6.2,Yes
2.2,2.4,24,85,1010.4,7,13.5,Yes
2.6,10.8,20,34,1021.7,1,8.8,No
3.8,10.2,2,44,1024.8,1,9,No
2.8,3.9,17,51,1033.2,7,9.3,No
2.2,0.6,11,61,1031.9,7,8.3,No
1.6,0,13,73,1023.5,8,8.7,No
1.8,2.9,19,33,1016.2,7,10,No
2.8,8.6,7,33,1013.9,7,6.4,No
2.4,9.4,0,37,1018.2,1,7.2,No
3.4,10.9,9,25,1020.9,0,5.5,No
4,9.7,6,35,1017.9,1,6.3,No
3,9.9,4,20,1013.9,1,6,No
5,9.9,9,27,1010.9,7,11.9,No
5.6,10.2,20,31,1011.4,3,17.5,Yes
8.8,6,39,43,1006,7,16.7,Yes
5.2,8,31,33,1001.5,3,15.6,Yes
6.6,11,26,33,1017.6,3,7.1,No
5.6,9,6,43,1022.1,7,7.4,No
1.6,8.6,2,36,1015.6,4,7,No
3.6,10.3,9,30,1011.7,1,16.4,No
6.8,10.9,15,15,1010.9,1,18.3,No
10,11,13,25,1015.1,1,14.5,No
6.8,5.2,2,50,1006.5,1,15.9,Yes
6.4,7.9,15,44,1017.8,7,8,No
2.2,11.3,4,33,1027.7,1,10.7,No
2.6,11.1,4,32,1026.9,1,11,No
3.6,10.6,20,35,1020.6,2,15.4,No
4.8,10.5,2,25,1016.4,5,15.9,No
9.4,11.1,31,25,1009.9,1,20.4,No
9.6,9.4,6,32,1013.9,2,14.9,No
4.8,11.4,6,34,1017,2,9.8,No
5.4,11.1,6,16,1015.4,5,11.3,No
5.2,11,15,21,1014.1,0,19,No
10,10.8,31,22,1011.8,1,22.5,Yes
9.4,4.9,20,65,1013.2,8,14.5,Yes
4.2,6.7,7,46,1013.6,8,11.7,No
4.8,8.4,24,40,1005.3,5,12.8,Yes
5.4,11.8,11,45,1013.3,1,6.9,No
5.8,11.5,2,33,1017.5,0,7.2,No
6.2,11.5,2,22,1024.2,0,8.1,No
4.4,11,6,25,1024.9,1,10,No
5.4,11.2,2,30,1023.8,1,13.6,No
4.8,11.7,4,27,1021.5,0,12.6,No
6.2,7.5,6,47,1016,4,16.3,Yes
6.6,NA,7,61,1016.7,7,14.5,No
3.4,10.4,4,42,1019.7,7,11.6,No
4.2,12.2,2,30,1022.3,1,9.6,No
6.2,12,0,34,1020.7,6,11.6,No
5.4,8.6,4,31,1022.2,1,12.7,No
5.8,9.8,2,30,1019.8,1,16.8,No
7.6,12.1,6,20,1017.5,1,16.4,No
9,6.2,11,28,1018.6,7,11.4,No
4.8,11.7,35,24,1023.1,1,8.3,No
7.4,12.2,26,25,1022.8,1,9.1,No
5.4,8.4,2,29,1018.4,3,9.4,No
5.2,10.8,4,16,1014.6,0,12,No
6.8,3.5,0,20,1014.2,5,16.3,No
7.6,12.1,7,15,1010.8,1,20.4,No
11.6,12.7,2,22,1016.9,0,17.2,No
8.4,5.3,11,47,1022.8,3,14.5,No
5,7.1,6,39,1016.2,6,15.8,No
6,12.6,31,13,1009.2,1,23.8,No
